# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:dens[1]-dens[1]        7:dens[1]-dens[2]        8:dens[2]-dens[2]        9:dens[2]-dens[3]       10:dens[3]-dens[3]       11:T-dens[1]             12:T-dens[2]             13:T-dens[3]          
  287       5.907682824687e-10       8.990819853652e-13       1.458510801988e-11       0.000000000000e+00       3.352971825465e-03       2.712735390397e-03       2.521616095785e-03       2.012753928132e-03       1.924771707492e-03       1.803081276864e-09       1.933666374013e-09       1.917106504138e-09 
  288       5.865898454774e-10       9.201327637088e-13       1.468981582998e-11       0.000000000000e+00       3.359444499050e-03       2.717968770913e-03       2.526681956075e-03       2.017090040975e-03       1.929151091650e-03       1.791644224404e-09       1.922792781662e-09       1.907131523001e-09 
  289       5.823839676470e-10       9.414054095635e-13       1.479023340640e-11       0.000000000000e+00       3.365900959347e-03       2.723180761943e-03       2.531722668070e-03       2.021408948597e-03       1.933526570254e-03       1.780360196832e-09       1.912038724767e-09       1.897265982356e-09 
  290       5.781519105951e-10       9.628946234966e-13       1.488631597386e-11       0.000000000000e+00       3.372341723514e-03       2.728371802253e-03       2.536738450510e-03       2.025710466836e-03       1.937897588510e-03       1.769222217763e-09       1.901399926937e-09       1.887507335857e-09 
  291       5.738949556773e-10       9.845949327324e-13       1.497801952856e-11       0.000000000000e+00       3.378767297605e-03       2.733542325729e-03       2.541729515439e-03       2.029994396218e-03       1.942263562072e-03       1.758222975911e-09       1.890871865723e-09       1.877852847024e-09 
  292       5.696144040664e-10       1.006500689669e-12       1.506530085053e-11       0.000000000000e+00       3.385178176298e-03       2.738692761199e-03       2.546696068040e-03       2.034260521744e-03       1.946623876699e-03       1.747354821661e-09       1.880449769997e-09       1.868299587131e-09 
  293       5.653115768314e-10       1.028606070397e-12       1.514811751604e-11       0.000000000000e+00       3.391574842638e-03       2.743823532269e-03       2.551638306470e-03       2.038508612674e-03       1.950977887906e-03       1.736609763649e-09       1.870128617336e-09       1.858844433097e-09 
  294       5.609878150171e-10       1.050905073215e-12       1.522642791001e-11       0.000000000000e+00       3.397957767768e-03       2.748935057156e-03       2.556556421694e-03       2.042738422309e-03       1.955324920618e-03       1.725979465343e-09       1.859903131401e-09       1.849484065376e-09 
  295       5.566444797230e-10       1.073391517147e-12       1.530019123837e-11       0.000000000000e+00       3.404327410665e-03       2.754027748517e-03       2.561450597321e-03       2.046949687774e-03       1.959664268825e-03       1.715455241618e-09       1.849767779316e-09       1.840214965850e-09 
  296       5.522829521822e-10       1.096059040460e-12       1.536936754048e-11       0.000000000000e+00       3.410684217879e-03       2.759102013282e-03       2.566321009435e-03       2.051142129806e-03       1.963995195236e-03       1.705028055336e-09       1.839716769050e-09       1.831033415714e-09 
  297       5.479046338413e-10       1.118901099184e-12       1.543391770148e-11       0.000000000000e+00       3.417028623265e-03       2.764158252484e-03       2.571167826436e-03       2.055315452537e-03       1.968316930930e-03       1.694688513923e-09       1.829744046801e-09       1.821935493371e-09 
  298       5.435109464390e-10       1.141910965624e-12       1.549380346474e-11       0.000000000000e+00       3.423361047721e-03       2.769196861092e-03       2.575991208871e-03       2.059469343272e-03       1.972628675014e-03       1.684426865947e-09       1.819843294369e-09       1.812917072321e-09 
  299       5.391033320855e-10       1.165081726880e-12       1.554898744420e-11       0.000000000000e+00       3.429681898922e-03       2.774218227840e-03       2.580791309268e-03       2.063603472284e-03       1.976929594276e-03       1.674232997697e-09       1.810007926544e-09       1.803973819050e-09 
  300       5.346832533418e-10       1.188406283366e-12       1.559943313680e-11       0.000000000000e+00       3.435991571059e-03       2.779222735064e-03       2.585568271972e-03       2.067717492587e-03       1.981218822835e-03       1.664096429762e-09       1.800231088484e-09       1.795101190922e-09 
  301       5.302521932986e-10       1.211877347324e-12       1.564510493484e-11       0.000000000000e+00       3.442290444569e-03       2.784210758527e-03       2.590322232982e-03       2.071811039726e-03       1.985495461801e-03       1.654006313608e-09       1.790505653092e-09       1.786294434069e-09 
  302       5.258116556556e-10       1.235487441343e-12       1.568596813838e-11       0.000000000000e+00       3.448578885877e-03       2.789182667255e-03       2.595053319781e-03       2.075883731561e-03       1.989758578922e-03       1.643951428156e-09       1.780824218404e-09       1.777548581280e-09 
  303       5.213631648011e-10       1.259228896876e-12       1.572198896765e-11       0.000000000000e+00       3.454857247128e-03       2.794138823366e-03       2.599761651176e-03       2.079935168050e-03       1.994007208246e-03       1.633920176360e-09       1.771179104963e-09       1.768858449894e-09 
