# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0.5
# for k=1.04434e-05 to 34.4277 h/Mpc,
# number of wavenumbers equal to 581
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       9.525576847403e-03      -1.733610372963e+00      -5.027765178597e+02      -5.032598200865e+02      -1.726251186216e+00      -5.029625896323e+02       4.315627965539e-01       4.315627965539e-01 
       9.653409277665e-03      -1.727378375938e+00      -5.144671818477e+02      -5.149722187714e+02      -1.720045645026e+00      -5.146664128751e+02       4.300114112565e-01       4.300114112565e-01 
       9.781290579052e-03      -1.721161270859e+00      -5.262491408714e+02      -5.267766791350e+02      -1.713854931136e+00      -5.264621373909e+02       4.284637327841e-01       4.284637327841e-01 
       9.909219617106e-03      -1.714960657055e+00      -5.381211246119e+02      -5.386719288370e+02      -1.707680639902e+00      -5.383484917176e+02       4.269201599755e-01       4.269201599755e-01 
       1.003719533117e-02      -1.708782062323e+00      -5.500832413737e+02      -5.506580339641e+02      -1.701528273377e+00      -5.503255485066e+02       4.253820683443e-01       4.253820683443e-01 
       1.016521673033e-02      -1.702619541783e+00      -5.621321691773e+02      -5.627317345670e+02      -1.695391916418e+00      -5.623900395640e+02       4.238479791044e-01       4.238479791044e-01 
       1.029328288971e-02      -1.696473127149e+00      -5.742666550962e+02      -5.748917718988e+02      -1.689271597359e+00      -5.745407076070e+02       4.223178993398e-01       4.223178993398e-01 
       1.042139294698e-02      -1.690343505355e+00      -5.864856338170e+02      -5.871370651313e+02      -1.683167997821e+00      -5.867764747080e+02       4.207919994551e-01       4.207919994551e-01 
       1.054954609914e-02      -1.684227895089e+00      -5.987866214538e+02      -5.994652018441e+02      -1.677078348014e+00      -5.990949183545e+02       4.192695870034e-01       4.192695870034e-01 
       1.067774159953e-02      -1.678131805172e+00      -6.111698700439e+02      -6.118763422888e+02      -1.671008136904e+00      -6.114962130597e+02       4.177520342260e-01       4.177520342260e-01 
       1.080597875507e-02      -1.672049133256e+00      -6.236317277826e+02      -6.243669774905e+02      -1.664951286730e+00      -6.239768290959e+02       4.162378216825e-01       4.162378216825e-01 
       1.093425692366e-02      -1.665985517540e+00      -6.361727480859e+02      -6.369375322116e+02      -1.658913414079e+00      -6.365372111302e+02       4.147283535197e-01       4.147283535197e-01 
       1.106257551183e-02      -1.659936325203e+00      -6.487897421572e+02      -6.495849677124e+02      -1.652889904506e+00      -6.491742983332e+02       4.132224761264e-01       4.132224761264e-01 
       1.119093397245e-02      -1.653906372495e+00      -6.614834293756e+02      -6.623098797555e+02      -1.646885551833e+00      -6.618887055072e+02       4.117213879584e-01       4.117213879584e-01 
       1.131933180272e-02      -1.647891019044e+00      -6.742505725326e+02      -6.751092001288e+02      -1.640895734255e+00      -6.746773394092e+02       4.102239335638e-01       4.102239335638e-01 
       1.144776854222e-02      -1.641893572012e+00      -6.870911224213e+02      -6.879827900677e+02      -1.634923745575e+00      -6.875400753203e+02       4.087309363936e-01       4.087309363936e-01 
       1.157624377113e-02      -1.635911640248e+00      -7.000023336931e+02      -7.009279982068e+02      -1.628967207793e+00      -7.004742483707e+02       4.072418019483e-01       4.072418019483e-01 
       1.170475710854e-02      -1.629945996981e+00      -7.129833773397e+02      -7.139439958011e+02      -1.623026888579e+00      -7.134790301415e+02       4.057567221447e-01       4.057567221447e-01 
       1.183330821093e-02      -1.623998414099e+00      -7.260334662080e+02      -7.270299553278e+02      -1.617104554882e+00      -7.265535997811e+02       4.042761387204e-01       4.042761387204e-01 
       1.196189677072e-02      -1.618067411284e+00      -7.391507041898e+02      -7.401840426784e+02      -1.611198731399e+00      -7.396961143104e+02       4.027996828498e-01       4.027996828498e-01 
       1.209052251493e-02      -1.612152237763e+00      -7.523334565842e+02      -7.534046558853e+02      -1.605308669841e+00      -7.529049673580e+02       4.013271674603e-01       4.013271674603e-01 
       1.221918520393e-02      -1.606253509260e+00      -7.655806776871e+02      -7.666907371348e+02      -1.599434983401e+00      -7.661791034691e+02       3.998587458502e-01       3.998587458502e-01 
       1.234788463031e-02      -1.600370609227e+00      -7.788907308624e+02      -7.800406784479e+02      -1.593577058267e+00      -7.795169109011e+02       3.983942645667e-01       3.983942645667e-01 
